turn,player,response,predicted_action,predicted_normalized,chaga_top1_action,chaga_top3_actions,teacher_accept_top3,has_teacher_distribution,top1_match,top3_match,relaxed_match
47,0,Play B6,Play T9,PLAY T9,PLAY B6,PLAY B6|PLAY W5,False,True,False,False,False
48,2,Peng,Peng,PENG,PENG,PENG,False,True,True,True,True
50,3,Play W8,Play W8,PLAY W8,PLAY W8,PLAY W8|PLAY B7,False,True,True,True,True
52,0,Play B7,Play T9,PLAY T9,PLAY B7,PLAY B7,False,True,False,False,False
56,2,Play B3,Play B3,PLAY B3,PLAY B3,PLAY B3,True,True,True,True,True
58,3,Play B7,Play T5,PLAY T5,PLAY B7,PLAY B7|PLAY T5,False,True,False,True,False
60,0,Play W1,Play W1,PLAY W1,PLAY W1,PLAY W1,False,True,True,True,True
64,2,Play B8,Play B8,PLAY B8,PLAY B8,PLAY B8|PLAY W3,False,True,True,True,True
66,3,Play T1,Play T5,PLAY T5,PLAY T1,PLAY T1,False,True,False,False,False
68,0,Play T1,Play T9,PLAY T9,PLAY T1,PLAY T1|PLAY W5,False,True,False,False,False
72,2,Play B5,Play B5,PLAY B5,PLAY B5,PLAY B5,False,True,True,True,True
74,3,Play T1,Play T1,PLAY T1,PLAY T1,PLAY T1|PLAY B2,False,True,True,True,True
76,0,Play J1,Play J1,PLAY J1,PLAY J1,PLAY J1|PLAY T2,False,True,True,True,True
80,2,Play T2,Play T2,PLAY T2,PLAY T2,PLAY T2,False,True,True,True,True
82,3,Play F1,Play F1,PLAY F1,PLAY F1,PLAY F1|PLAY B2,False,True,True,True,True
84,0,Play T2,Play T2,PLAY T2,PLAY T2,PLAY T2,False,True,True,True,True
87,2,Play W1,Play W1,PLAY W1,PLAY W1,PLAY W1,False,True,True,True,True
89,3,Play J2,Play J2,PLAY J2,PLAY J2,PLAY J2|PLAY B2,False,True,True,True,True
91,0,Play W3,Play W3,PLAY W3,PLAY W3,PLAY W3|PLAY T9|PLAY T5,False,True,True,True,True
95,2,Play T3,Play T3,PLAY T3,PLAY T3,PLAY T3|PLAY W3,False,True,True,True,True
97,3,Play B2,Play B2,PLAY B2,PLAY B2,PLAY B2,True,True,True,True,True
99,0,Play W5,Play W5,PLAY W5,PLAY W5,PLAY W5|PLAY T5,False,True,True,True,True
103,2,Play B3,Play B3,PLAY B3,PLAY B3,PLAY B3,False,True,True,True,True
4,1,Play F3,Play T6,PLAY T6,PLAY F3,PLAY F3|PLAY T6|PLAY T2,True,True,False,True,True
8,3,Play B1,Play B1,PLAY B1,PLAY B1,PLAY B1|PLAY B8,True,True,True,True,True
12,1,Play F3,Play F3,PLAY F3,PLAY F3,PLAY F3,True,True,True,True,True
16,3,Play T1,Play B8,PLAY B8,PLAY T1,PLAY T1,True,True,False,False,False
20,1,Play B3,Play T9,PLAY T9,PLAY B3,PLAY B3,True,True,False,False,False
24,3,Play T4,Play T4,PLAY T4,PLAY T4,PLAY T4|PLAY B3,True,True,True,True,True
27,1,Play F3,Play F3,PLAY F3,PLAY F3,PLAY F3,True,True,True,True,True
31,3,Play J1,Play J1,PLAY J1,PLAY J1,PLAY J1,True,True,True,True,True
35,1,Play B3,Play T9,PLAY T9,PLAY B3,PLAY B3,True,True,False,False,False
39,3,Play B3,Play B3,PLAY B3,PLAY B3,PLAY B3,True,True,True,True,True
43,1,Play T9,Play T9,PLAY T9,PLAY T9,PLAY T9|PLAY W6,True,True,True,True,True
46,3,Play B7,Play W9,PLAY W9,PLAY B7,PLAY B7|PLAY T7,True,True,False,False,False
50,1,Play B9,Play B9,PLAY B9,PLAY B9,PLAY B9|PLAY T2,False,True,True,True,True
54,3,Play W6,Play W6,PLAY W6,PLAY W6,PLAY W6,False,True,True,True,True
58,1,Play T2,Play W6,PLAY W6,PLAY T2,PLAY T2,False,True,False,False,False
62,3,Play W2,Play W2,PLAY W2,PLAY W2,PLAY W2,False,True,True,True,True
64,3,Hu,Hu,HU,HU,HU|PASS,False,True,True,True,True
2,0,Play W2,Play F4,PLAY F4,PLAY W2,PLAY W2|PLAY W5,True,True,False,False,False
7,0,Peng,Peng,PENG,PENG,PENG,False,True,True,True,True
13,3,Play T3,Play F3,PLAY F3,PLAY T3,PLAY T3|PLAY W9|PLAY F3,True,True,False,True,True
15,0,Play T2,Play F4,PLAY F4,PLAY T2,PLAY T2|PLAY B7|PLAY B5,True,True,False,False,False
21,3,Play W9,Play F3,PLAY F3,PLAY W9,PLAY W9|PLAY F3,True,True,False,True,True
23,0,Play T7,Play F4,PLAY F4,PLAY T7,PLAY T7|PLAY B5|PLAY B7,True,True,False,False,False
29,3,Play T2,Play F3,PLAY F3,PLAY T2,PLAY T2|PLAY F3,True,True,False,True,True
31,0,Play T1,Play F4,PLAY F4,PLAY T1,PLAY T1,True,True,False,False,False
37,3,Play F3,Play F3,PLAY F3,PLAY F3,PLAY F3|PLAY T5|PLAY B5,True,True,True,True,True
39,0,Play W1,Play F4,PLAY F4,PLAY W1,PLAY W1,True,True,False,False,False
45,3,Play F2,Play J3,PLAY J3,PLAY F2,PLAY F2|PLAY T8,True,True,False,False,False
49,0,Play W9,Play F4,PLAY F4,PLAY W9,PLAY W9|PLAY W6|PLAY B7,False,True,False,False,False
55,3,Play T8,Play J3,PLAY J3,PLAY T8,PLAY T8|PLAY T5|PLAY J3,True,True,False,True,True
57,0,Play W1,Play F4,PLAY F4,PLAY W1,PLAY W1,False,True,False,False,False
63,3,Play T5,Play J3,PLAY J3,PLAY T5,PLAY T5|PLAY W3,False,True,False,False,False
65,0,Play T9,Play F4,PLAY F4,PLAY T9,PLAY T9,False,True,False,False,False
66,3,Peng,Peng,PENG,PENG,PENG,False,True,True,True,True
68,0,Play B7,Play F3,PLAY F3,PLAY B7,PLAY B7|PLAY F3|PLAY B5,False,True,False,True,False
74,3,Play T1,Play T1,PLAY T1,PLAY T1,PLAY T1|PLAY W6,False,True,True,True,True
76,0,Play B5,Play F3,PLAY F3,PLAY B5,PLAY B5,False,True,False,False,False
4,1,Play B5,Play F2,PLAY F2,PLAY B5,PLAY B5,True,True,False,False,False
6,2,Play F3,Play F3,PLAY F3,PLAY F3,PLAY F3|PLAY F4|PLAY F1,True,True,True,True,True
8,3,Play F4,Play F4,PLAY F4,PLAY F4,PLAY F4|PLAY W9,True,True,True,True,True
12,1,Play B2,Play W2,PLAY W2,PLAY B2,PLAY B2,True,True,False,False,False
14,2,Play F4,Play F4,PLAY F4,PLAY F4,PLAY F4|PLAY F1,True,True,True,True,True
16,3,Play W9,Play W9,PLAY W9,PLAY W9,PLAY W9|PLAY B9|PLAY W7,True,True,True,True,True
20,1,Play T2,Play F4,PLAY F4,PLAY T2,PLAY T2|PLAY W9,True,True,False,False,False
22,2,Play J1,Play F1,PLAY F1,PLAY J1,PLAY J1|PLAY F1,True,True,False,True,True
24,3,Play J3,Play J3,PLAY J3,PLAY J3,PLAY J3|PLAY W7,True,True,True,True,True
28,1,Play F4,Play F4,PLAY F4,PLAY F4,PLAY F4,True,True,True,True,True
30,2,Play F1,Play F1,PLAY F1,PLAY F1,PLAY F1,True,True,True,True,True
32,3,Play W1,Play W1,PLAY W1,PLAY W1,PLAY W1|PLAY W7,True,True,True,True,True
36,1,Play T7,Play B9,PLAY B9,PLAY T7,PLAY T7,True,True,False,False,False
38,2,Play W6,Play B1,PLAY B1,PLAY W6,PLAY W6,True,True,False,False,False
39,3,Chi W5,Chi W6,CHI W6,CHI W5,CHI W5,False,True,False,False,False
43,1,Play B4,Play B9,PLAY B9,PLAY B4,PLAY B4|PLAY B9,True,True,False,True,True
45,2,Play W3,Play W3,PLAY W3,PLAY W3,PLAY W3,True,True,True,True,True
47,3,Play F1,Play F1,PLAY F1,PLAY F1,PLAY F1|PLAY B9,True,True,True,True,True
51,1,Play B9,Play B9,PLAY B9,PLAY B9,PLAY B9|PLAY W2,False,True,True,True,True
53,2,Play W6,Play B1,PLAY B1,PLAY W6,PLAY W6,False,True,False,False,False
55,3,Play T9,Play T9,PLAY T9,PLAY T9,PLAY T9|PLAY B9,False,True,True,True,True
59,1,Play W2,Play W2,PLAY W2,PLAY W2,PLAY W2,False,True,True,True,True
61,2,Play T4,Play B1,PLAY B1,PLAY T4,PLAY T4,False,True,False,False,False
63,3,Play F3,Play F3,PLAY F3,PLAY F3,PLAY F3,False,True,True,True,True
67,1,Play B8,Play B8,PLAY B8,PLAY B8,PLAY B8,False,True,True,True,True
68,2,Chi B8,Chi B8,CHI B8,CHI B8,CHI B8|PASS,False,True,True,True,True
70,3,Play B9,Play B9,PLAY B9,PLAY B9,PLAY B9|PLAY B6,False,True,True,True,True
2,0,Play F3,Play F3,PLAY F3,PLAY F3,PLAY F3|PLAY W9|PLAY F2,True,True,True,True,True
4,1,Play W8,Play B9,PLAY B9,PLAY W8,PLAY W8|PLAY W3,True,True,False,False,False
7,3,Chi B2,Chi B2,CHI B2,CHI B2,CHI B2|PASS,False,True,True,True,True
9,0,Play F2,Play J2,PLAY J2,PLAY F2,PLAY F2,True,True,False,False,False
11,1,Play T7,Play B9,PLAY B9,PLAY T7,PLAY T7|PLAY B9|PLAY T5,True,True,False,True,True
15,3,Play F1,Play F1,PLAY F1,PLAY F1,PLAY F1,True,True,True,True,True
18,3,Play W9,Play B8,PLAY B8,PLAY W9,PLAY W9|PLAY B3,True,True,False,False,False
20,0,Play J2,Play J2,PLAY J2,PLAY J2,PLAY J2,True,True,True,True,True
23,3,Play B8,Play B8,PLAY B8,PLAY B8,PLAY B8|PLAY B9,True,True,True,True,True
25,0,Play B4,Play W3,PLAY W3,PLAY B4,PLAY B4|PLAY W3|PLAY W9,True,True,False,True,True
27,1,Play T5,Play W3,PLAY W3,PLAY T5,PLAY T5|PLAY W3,True,True,False,True,True
30,3,Chi B8,Chi B8,CHI B8,CHI B8,CHI B8|PASS,False,True,True,True,True
32,0,Play T9,Play T9,PLAY T9,PLAY T9,PLAY T9|PLAY W3|PLAY W9,True,True,True,True,True
34,1,Play B9,Play B9,PLAY B9,PLAY B9,PLAY B9|PLAY B7,True,True,True,True,True
40,3,Play W2,Play W2,PLAY W2,PLAY W2,PLAY W2,True,True,True,True,True
42,0,Play B3,Play W3,PLAY W3,PLAY B3,PLAY B3|PLAY W3,True,True,False,True,True
44,1,Play J1,Play J1,PLAY J1,PLAY J1,PLAY J1|PLAY B7,True,True,True,True,True
48,3,Play B7,Play B7,PLAY B7,PLAY B7,PLAY B7|PLAY T1,False,True,True,True,True
50,0,Play B5,Play W3,PLAY W3,PLAY B5,PLAY B5|PLAY W9,False,True,False,False,False
52,1,Play B7,Play W9,PLAY W9,PLAY B7,PLAY B7,True,True,False,False,False
56,3,Play F3,Play F3,PLAY F3,PLAY F3,PLAY F3,False,True,True,True,True
58,0,Play W9,Play W9,PLAY W9,PLAY W9,PLAY W9|PLAY W8|PLAY W2,False,True,True,True,True
60,1,Play B9,Play B9,PLAY B9,PLAY B9,PLAY B9,False,True,True,True,True
2,0,Play B5,Play B9,PLAY B9,PLAY B5,PLAY B5|PLAY W7|PLAY W4,True,True,False,False,False
4,1,Play F2,Play J3,PLAY J3,PLAY F2,PLAY F2|PLAY J3,True,True,False,True,True
6,2,Play B2,Play F1,PLAY F1,PLAY B2,PLAY B2|PLAY F1|PLAY W1,True,True,False,True,True
10,0,Play W7,Play F4,PLAY F4,PLAY W7,PLAY W7|PLAY B5|PLAY B9,True,True,False,False,False
12,1,Play J3,Play J3,PLAY J3,PLAY J3,PLAY J3,True,True,True,True,True
14,2,Play B2,Play F1,PLAY F1,PLAY B2,PLAY B2|PLAY W1,True,True,False,False,False
18,0,Play F4,Play F4,PLAY F4,PLAY F4,PLAY F4|PLAY J3|PLAY J1,True,True,True,True,True
20,1,Play J2,Play J2,PLAY J2,PLAY J2,PLAY J2,True,True,True,True,True
22,2,Play F1,Play F1,PLAY F1,PLAY F1,PLAY F1|PLAY J2,True,True,True,True,True
26,0,Play J3,Play J2,PLAY J2,PLAY J3,PLAY J3|PLAY J1|PLAY J2,True,True,False,True,True
28,1,Play B2,Play W9,PLAY W9,PLAY B2,PLAY B2|PLAY B7,True,True,False,False,False
30,2,Play J2,Play J2,PLAY J2,PLAY J2,PLAY J2,True,True,True,True,True
34,0,Play J1,Play J2,PLAY J2,PLAY J1,PLAY J1|PLAY J2,True,True,False,True,True
36,1,Play B7,Play W9,PLAY W9,PLAY B7,PLAY B7|PLAY T5,True,True,False,False,False
38,2,Play B3,Play T9,PLAY T9,PLAY B3,PLAY B3|PLAY T6,True,True,False,False,False
42,0,Play J2,Play J2,PLAY J2,PLAY J2,PLAY J2,True,True,True,True,True
44,1,Play B3,Play W9,PLAY W9,PLAY B3,PLAY B3,True,True,False,False,False
46,2,Play B1,Play B1,PLAY B1,PLAY B1,PLAY B1|PLAY W9|PLAY T6,True,True,True,True,True
50,0,Play B1,Play B1,PLAY B1,PLAY B1,PLAY B1|PLAY B5,False,True,True,True,True
52,1,Play T4,Play W9,PLAY W9,PLAY T4,PLAY T4|PLAY W5,False,True,False,False,False
54,2,Play B1,Play B1,PLAY B1,PLAY B1,PLAY B1|PLAY W9,False,True,True,True,True
58,0,Play B3,Play B9,PLAY B9,PLAY B3,PLAY B3|PLAY B9,False,True,False,True,False
60,1,Play J3,Play J3,PLAY J3,PLAY J3,PLAY J3,False,True,True,True,True
62,2,Play T6,Play T9,PLAY T9,PLAY T6,PLAY T6|PLAY T9|PLAY W9,False,True,False,True,False
65,0,Play W9,Play B9,PLAY B9,PLAY W9,PLAY W9,False,True,False,False,False
67,1,Play F2,Play F2,PLAY F2,PLAY F2,PLAY F2,False,True,True,True,True
69,2,Play W2,Play T9,PLAY T9,PLAY W2,PLAY W2|PLAY B4,False,True,False,False,False
72,0,Play B9,Play B9,PLAY B9,PLAY B9,PLAY B9|PLAY T6,False,True,True,True,True
74,1,Play F3,Play F3,PLAY F3,PLAY F3,PLAY F3|PLAY W9|PLAY W5,False,True,True,True,True
76,2,Play J1,Play J1,PLAY J1,PLAY J1,PLAY J1,False,True,True,True,True
80,0,Play F1,Play F1,PLAY F1,PLAY F1,PLAY F1|PLAY B7,False,True,True,True,True
82,1,Play B8,Play B8,PLAY B8,PLAY B8,PLAY B8|PLAY W9|PLAY W5,False,True,True,True,True
84,2,Play F1,Play F1,PLAY F1,PLAY F1,PLAY F1,False,True,True,True,True
88,0,Play B7,Play T8,PLAY T8,PLAY B7,PLAY B7|PLAY T8,False,True,False,True,False
90,1,Play W9,Play W9,PLAY W9,PLAY W9,PLAY W9|PLAY W4,False,True,True,True,True
92,2,Play J1,Play J1,PLAY J1,PLAY J1,PLAY J1,False,True,True,True,True
96,0,Play T8,Play T8,PLAY T8,PLAY T8,PLAY T8|PLAY B5,False,True,True,True,True
98,1,Play F3,Play F3,PLAY F3,PLAY F3,PLAY F3,False,True,True,True,True
100,2,Play B4,Play T9,PLAY T9,PLAY B4,PLAY B4|PLAY W8|PLAY W9,False,True,False,False,False
104,0,Play T6,Play T6,PLAY T6,PLAY T6,PLAY T6,False,True,True,True,True
106,1,Play T7,Play T7,PLAY T7,PLAY T7,PLAY T7|PLAY W4,False,True,True,True,True
108,2,Play F4,Play F4,PLAY F4,PLAY F4,PLAY F4|PLAY B6,False,True,True,True,True
112,0,Play T6,Play T6,PLAY T6,PLAY T6,PLAY T6,False,True,True,True,True
114,1,Play F4,Play F4,PLAY F4,PLAY F4,PLAY F4,False,True,True,True,True
116,2,Play W1,Play W1,PLAY W1,PLAY W1,PLAY W1|PLAY W9|PLAY B6,False,True,True,True,True
119,0,Hu,Hu,HU,HU,HU|CHI T2|PASS,False,True,True,True,True
2,0,Play F2,Play F3,PLAY F3,PLAY F2,PLAY F2|PLAY F3,True,True,False,True,True
4,1,Play T8,Play F4,PLAY F4,PLAY T8,PLAY T8|PLAY F4|PLAY W1,True,True,False,True,True
6,2,Play F1,Play J3,PLAY J3,PLAY F1,PLAY F1|PLAY J3,True,True,False,True,True
10,0,Play F3,Play F3,PLAY F3,PLAY F3,PLAY F3|PLAY J3,True,True,True,True,True
12,1,Play T8,Play F4,PLAY F4,PLAY T8,PLAY T8|PLAY W1,True,True,False,False,False
14,2,Play J3,Play J3,PLAY J3,PLAY J3,PLAY J3,True,True,True,True,True
18,0,Play J3,Play J3,PLAY J3,PLAY J3,PLAY J3|PLAY W2,True,True,True,True,True
20,1,Play W1,Play F4,PLAY F4,PLAY W1,PLAY W1|PLAY J2|PLAY F4,True,True,False,True,True
22,2,Play B5,Play B1,PLAY B1,PLAY B5,PLAY B5|PLAY T1,True,True,False,False,False
25,0,Play W2,Play B1,PLAY B1,PLAY W2,PLAY W2|PLAY T2,True,True,False,False,False
27,1,Play J2,Play F1,PLAY F1,PLAY J2,PLAY J2|PLAY F1,True,True,False,True,True
29,2,Play T8,Play B1,PLAY B1,PLAY T8,PLAY T8|PLAY T7,True,True,False,False,False
33,0,Play F1,Play F1,PLAY F1,PLAY F1,PLAY F1,True,True,True,True,True
35,1,Play F1,Play F1,PLAY F1,PLAY F1,PLAY F1|PLAY F4,True,True,True,True,True
37,2,Play T7,Play T1,PLAY T1,PLAY T7,PLAY T7|PLAY T4,True,True,False,False,False
40,0,Chi W8,Chi W8,CHI W8,CHI W8,CHI W8,False,True,True,True,True
42,1,Play F4,Play F4,PLAY F4,PLAY F4,PLAY F4|PLAY W2|PLAY J1,True,True,True,True,True
45,0,Play W9,Play B1,PLAY B1,PLAY W9,PLAY W9|PLAY T6,False,True,False,False,False
47,1,Play W2,Play J1,PLAY J1,PLAY W2,PLAY W2|PLAY B4|GANG,False,True,False,False,False
49,2,Play T4,Play T1,PLAY T1,PLAY T4,PLAY T4,True,True,False,False,False
52,0,Play T3,Play B1,PLAY B1,PLAY T3,PLAY T3|PLAY T6,False,True,False,False,False
54,1,Play W2,Play J1,PLAY J1,PLAY W2,PLAY W2|GANG,False,True,False,False,False
2,0,Play W1,Play F1,PLAY F1,PLAY W1,PLAY W1|PLAY F1,True,True,False,True,True
4,1,Play W7,Play T6,PLAY T6,PLAY W7,PLAY W7|PLAY T6|PLAY T2,True,True,False,True,True
8,3,Play W2,Play W2,PLAY W2,PLAY W2,PLAY W2|PLAY T2,True,True,True,True,True
10,0,Play F1,Play F3,PLAY F3,PLAY F1,PLAY F1|PLAY J3,True,True,False,False,False
12,1,Play T6,Play T6,PLAY T6,PLAY T6,PLAY T6|PLAY T2,True,True,True,True,True
18,0,Play F3,Play F3,PLAY F3,PLAY F3,PLAY F3|PLAY J3,True,True,True,True,True
20,1,Play T2,Play T2,PLAY T2,PLAY T2,PLAY T2|PLAY T7,True,True,True,True,True
23,3,Play T2,Play B8,PLAY B8,PLAY T2,PLAY T2|PLAY W7,True,True,False,False,False
25,0,Play J3,Play J3,PLAY J3,PLAY J3,PLAY J3|PLAY T8,True,True,True,True,True
27,1,Play T7,Play J1,PLAY J1,PLAY T7,PLAY T7,True,True,False,False,False
30,3,Chi B5,Chi B5,CHI B5,CHI B5,CHI B5,False,True,True,True,True
32,0,Play B5,Play T8,PLAY T8,PLAY B5,PLAY B5,True,True,False,False,False
34,1,Play T5,Play J1,PLAY J1,PLAY T5,PLAY T5|PLAY J1,True,True,False,True,True
38,3,Play W6,Play W6,PLAY W6,PLAY W6,PLAY W6|PLAY T8,True,True,True,True,True
40,0,Play B5,Play B9,PLAY B9,PLAY B5,PLAY B5|PLAY B9|PLAY T4,True,True,False,True,True
42,1,Play W3,Play W3,PLAY W3,PLAY W3,PLAY W3|PLAY J1,True,True,True,True,True
45,3,Play W9,Play W9,PLAY W9,PLAY W9,PLAY W9,True,True,True,True,True
47,0,Play B3,Play T8,PLAY T8,PLAY B3,PLAY B3|PLAY T4,False,True,False,False,False
49,1,Play W6,Play J1,PLAY J1,PLAY W6,PLAY W6|PLAY J1,False,True,False,True,False
53,3,Play J3,Play J3,PLAY J3,PLAY J3,PLAY J3|PLAY T8,True,True,True,True,True
55,0,Play T8,Play T8,PLAY T8,PLAY T8,PLAY T8|PLAY T4|PLAY T9,False,True,True,True,True
57,1,Play J1,Play J1,PLAY J1,PLAY J1,PLAY J1|PLAY W5,False,True,True,True,True
61,3,Play T4,Play T4,PLAY T4,PLAY T4,PLAY T4,False,True,True,True,True
63,0,Play J3,Play J3,PLAY J3,PLAY J3,PLAY J3,False,True,True,True,True
65,1,Play B8,Play B8,PLAY B8,PLAY B8,PLAY B8|PLAY W5,False,True,True,True,True
68,3,Chi B8,Chi B8,CHI B8,CHI B8,CHI B8|CHI B7,False,True,True,True,True
70,0,Play W4,Play W4,PLAY W4,PLAY W4,PLAY W4|PLAY B9,False,True,True,True,True
72,1,Play T6,Play T6,PLAY T6,PLAY T6,PLAY T6|PLAY W5,False,True,True,True,True
76,3,Play T7,Play B9,PLAY B9,PLAY T7,PLAY T7,False,True,False,False,False
77,0,Chi T8,Chi T7,CHI T7,CHI T8,CHI T8|CHI T6,False,True,False,False,False
79,1,Play B4,Play W5,PLAY W5,PLAY B4,PLAY B4|PLAY W5|PLAY F2,False,True,False,True,False
83,3,Play W2,Play B9,PLAY B9,PLAY W2,PLAY W2,False,True,False,False,False
85,0,Play B1,Play B1,PLAY B1,PLAY B1,PLAY B1,False,True,True,True,True
87,1,Play W9,Play W5,PLAY W5,PLAY W9,PLAY W9|PLAY W5|PLAY F2,False,True,False,True,False
91,3,Play F3,Play F3,PLAY F3,PLAY F3,PLAY F3,False,True,True,True,True
93,0,Play F3,Play F3,PLAY F3,PLAY F3,PLAY F3|PLAY F2,False,True,True,True,True
95,1,Play W1,Play W1,PLAY W1,PLAY W1,PLAY W1|PLAY F2,False,True,True,True,True
99,3,Play T9,Play T9,PLAY T9,PLAY T9,PLAY T9,False,True,True,True,True
101,0,Play F4,Play F4,PLAY F4,PLAY F4,PLAY F4,False,True,True,True,True
103,1,Play W9,Play W5,PLAY W5,PLAY W9,PLAY W9|PLAY F4,False,True,False,False,False
107,3,Play W5,Play B9,PLAY B9,PLAY W5,PLAY W5|PLAY B9,False,True,False,True,False
109,0,Play W7,Play W7,PLAY W7,PLAY W7,PLAY W7,False,True,True,True,True
111,1,Play T9,Play T9,PLAY T9,PLAY T9,PLAY T9|PLAY W5|PLAY J3,False,True,True,True,True
115,3,Play J2,Play J2,PLAY J2,PLAY J2,PLAY J2,False,True,True,True,True
118,3,Play W8,Play B9,PLAY B9,PLAY W8,PLAY W8,False,True,False,False,False
120,0,Play B4,Play B4,PLAY B4,PLAY B4,PLAY B4,False,True,True,True,True
122,1,Play T3,Play W5,PLAY W5,PLAY T3,PLAY T3|PLAY W5|PLAY J3,False,True,False,True,False
126,3,Play W3,Play W3,PLAY W3,PLAY W3,PLAY W3,False,True,True,True,True
128,0,Play W4,Play W4,PLAY W4,PLAY W4,PLAY W4,False,True,True,True,True
130,1,Play T9,Play T9,PLAY T9,PLAY T9,PLAY T9|PLAY W5|PLAY J3,False,True,True,True,True
134,3,Play B2,Play B2,PLAY B2,PLAY B2,PLAY B2,False,True,True,True,True
136,0,Play B3,Play B3,PLAY B3,PLAY B3,PLAY B3|PLAY W8,False,True,True,True,True
138,1,Play W3,Play W3,PLAY W3,PLAY W3,PLAY W3|PLAY W5|PLAY J3,False,True,True,True,True
2,0,Play W9,Play J3,PLAY J3,PLAY W9,PLAY W9|PLAY B6|PLAY W4,True,True,False,False,False
6,2,Play F1,Play F4,PLAY F4,PLAY F1,PLAY F1|PLAY J2|PLAY F4,True,True,False,True,True
8,3,Play T9,Play F4,PLAY F4,PLAY T9,PLAY T9|PLAY F2|PLAY B5,True,True,False,False,False
10,0,Play B1,Play J3,PLAY J3,PLAY B1,PLAY B1|PLAY B6|PLAY W4,True,True,False,False,False
14,2,Play J2,Play F4,PLAY F4,PLAY J2,PLAY J2|PLAY F4|PLAY W2,True,True,False,True,True
16,3,Play B5,Play W1,PLAY W1,PLAY B5,PLAY B5|PLAY T3,True,True,False,False,False
18,0,Play B6,Play J3,PLAY J3,PLAY B6,PLAY B6|PLAY W4|PLAY W3,True,True,False,False,False
22,2,Play F4,Play F4,PLAY F4,PLAY F4,PLAY F4,True,True,True,True,True
24,3,Play T3,Play W1,PLAY W1,PLAY T3,PLAY T3|PLAY B2|PLAY W9,True,True,False,False,False
25,0,Chi T2,Chi T2,CHI T2,CHI T2,CHI T2,False,True,True,True,True
28,0,Peng,Peng,PENG,PENG,PENG,False,True,True,True,True
32,2,Play F3,Play F3,PLAY F3,PLAY F3,PLAY F3,True,True,True,True,True
34,3,Play W7,Play W1,PLAY W1,PLAY W7,PLAY W7|PLAY B2|PLAY W1,True,True,False,True,True
36,0,Play B4,Play J3,PLAY J3,PLAY B4,PLAY B4|PLAY J2,True,True,False,False,False
39,2,Play T8,Play B9,PLAY B9,PLAY T8,PLAY T8|PLAY B9|PLAY B2,True,True,False,True,True
41,3,Play B2,Play W1,PLAY W1,PLAY B2,PLAY B2|PLAY T2|PLAY W1,True,True,False,True,True
43,0,Play W8,Play J3,PLAY J3,PLAY W8,PLAY W8|PLAY J2,False,True,False,False,False
47,2,Play B9,Play B1,PLAY B1,PLAY B9,PLAY B9|PLAY W2,True,True,False,False,False
49,3,Play W2,Play W1,PLAY W1,PLAY W2,PLAY W2,True,True,False,False,False
51,0,Play B6,Play J3,PLAY J3,PLAY B6,PLAY B6,False,True,False,False,False
55,2,Play T3,Play B1,PLAY B1,PLAY T3,PLAY T3|PLAY W2,False,True,False,False,False
57,3,Play B3,Play W1,PLAY W1,PLAY B3,PLAY B3,False,True,False,False,False
59,0,Play J2,Play J3,PLAY J3,PLAY J2,PLAY J2|PLAY J3,False,True,False,True,False
63,2,Play T1,Play B1,PLAY B1,PLAY T1,PLAY T1,False,True,False,False,False
65,3,Play B8,Play W1,PLAY W1,PLAY B8,PLAY B8|PLAY W1,False,True,False,True,False
