turn,player,response,predicted_action,predicted_normalized,predicted_family,chaga_top1_action,chaga_family,chaga_top3_actions,teacher_accept_top3,top1_match,top3_match,relaxed_match
52,2,PLAY B4,Play B4,PLAY B4,PLAY,PLAY B4,PLAY,PLAY B4|PLAY F3,False,True,True,True
56,0,PLAY B9,Play W1,PLAY W1,PLAY,PLAY B9,PLAY,PLAY B9|PLAY W4,False,False,False,False
59,2,PLAY F3,Play F3,PLAY F3,PLAY,PLAY F3,PLAY,PLAY F3|PLAY F4,False,True,True,True
62,0,CHI W2,Chi W3,CHI W3,CHI,CHI W2,CHI,CHI W2|CHI W3|PASS,False,False,True,False
66,2,PLAY B5,Play F4,PLAY F4,PLAY,PLAY B5,PLAY,PLAY B5|PLAY F4|PLAY B8,False,False,True,False
70,0,PLAY T8,Play T4,PLAY T4,PLAY,PLAY T8,PLAY,PLAY T8|PLAY T5|PLAY B2,False,False,False,False
74,2,PLAY B4,Play B4,PLAY B4,PLAY,PLAY B4,PLAY,PLAY B4|PLAY F4,False,True,True,True
77,0,PLAY T4,Play T4,PLAY T4,PLAY,PLAY T4,PLAY,PLAY T4,False,True,True,True
81,2,PLAY T7,Play T7,PLAY T7,PLAY,PLAY T7,PLAY,PLAY T7|PLAY F4,False,True,True,True
85,0,PLAY T8,Play T4,PLAY T4,PLAY,PLAY T8,PLAY,PLAY T8|PLAY B2,False,False,False,False
89,2,PLAY W3,Play W3,PLAY W3,PLAY,PLAY W3,PLAY,PLAY W3,False,True,True,True
93,0,PLAY B9,Play T5,PLAY T5,PLAY,PLAY B9,PLAY,PLAY B9,False,False,False,False
97,2,PLAY W5,Play F4,PLAY F4,PLAY,PLAY W5,PLAY,PLAY W5|PLAY F4|PLAY W8,False,False,True,False
100,0,PLAY B6,Play T5,PLAY T5,PLAY,PLAY B6,PLAY,PLAY B6,False,False,False,False
104,2,PLAY T8,Play T8,PLAY T8,PLAY,PLAY T8,PLAY,PLAY T8|PLAY F4,False,True,True,True
4,1,PLAY F2,Play W1,PLAY W1,PLAY,PLAY F2,PLAY,PLAY F2|PLAY W7,True,False,False,False
8,3,PLAY J1,Play W2,PLAY W2,PLAY,PLAY J1,PLAY,PLAY J1|PLAY F1|PLAY J3,True,False,False,False
12,1,PLAY W9,Play W1,PLAY W1,PLAY,PLAY W9,PLAY,PLAY W9|PLAY T6,True,False,False,False
16,3,PLAY F1,Play W2,PLAY W2,PLAY,PLAY F1,PLAY,PLAY F1|PLAY J3,True,False,False,False
20,1,PLAY W7,Play W1,PLAY W1,PLAY,PLAY W7,PLAY,PLAY W7|PLAY B6,True,False,False,False
24,3,PLAY J3,Play W2,PLAY W2,PLAY,PLAY J3,PLAY,PLAY J3|PLAY W9,True,False,False,False
28,1,PLAY F2,Play W1,PLAY W1,PLAY,PLAY F2,PLAY,PLAY F2|PLAY B6,True,False,False,False
32,3,PLAY W9,Play W2,PLAY W2,PLAY,PLAY W9,PLAY,PLAY W9|PLAY W2,True,False,True,True
36,1,PLAY T7,Play W1,PLAY W1,PLAY,PLAY T7,PLAY,PLAY T7,True,False,False,False
40,3,PLAY F2,Play W2,PLAY W2,PLAY,PLAY F2,PLAY,PLAY F2,True,False,False,False
44,1,PLAY B7,Play W1,PLAY W1,PLAY,PLAY B7,PLAY,PLAY B7|PLAY B6,True,False,False,False
48,3,PLAY F1,Play W2,PLAY W2,PLAY,PLAY F1,PLAY,PLAY F1|PLAY W2,True,False,True,True
51,1,PENG,Chi W2,CHI W2,CHI,PENG,PENG,PENG,False,False,False,False
55,3,PLAY W2,Play W2,PLAY W2,PLAY,PLAY W2,PLAY,PLAY W2,False,True,True,True
59,1,PLAY F1,Play W2,PLAY W2,PLAY,PLAY F1,PLAY,PLAY F1,False,False,False,False
63,3,PLAY B7,Play W5,PLAY W5,PLAY,PLAY B7,PLAY,PLAY B7|PLAY T4|PLAY W5,False,False,True,False
67,1,PLAY W6,Play W2,PLAY W2,PLAY,PLAY W6,PLAY,PLAY W6,False,False,False,False
68,3,PENG,Peng,PENG,PENG,PENG,PENG,PENG|PASS,False,True,True,True
72,1,PLAY B6,Play W2,PLAY W2,PLAY,PLAY B6,PLAY,PLAY B6|PLAY T6,False,False,False,False
76,3,PLAY J3,Play B9,PLAY B9,PLAY,PLAY J3,PLAY,PLAY J3,False,False,False,False
80,1,PLAY T5,Play W2,PLAY W2,PLAY,PLAY T5,PLAY,PLAY T5,False,False,False,False
83,3,GANG,Peng,PENG,PENG,GANG,GANG,GANG|PASS,False,False,False,False
84,3,PLAY B9,Play B9,PLAY B9,PLAY,PLAY B9,PLAY,PLAY B9|PLAY T4|PLAY T3,False,True,True,True
88,1,PLAY F3,Play W2,PLAY W2,PLAY,PLAY F3,PLAY,PLAY F3,False,False,False,False
92,3,PLAY T4,Play T3,PLAY T3,PLAY,PLAY T4,PLAY,PLAY T4|PLAY T3,False,False,True,False
95,1,PENG,Peng,PENG,PENG,PENG,PENG,PENG,False,True,True,True
5,3,PLAY T1,Play W4,PLAY W4,PLAY,PLAY T1,PLAY,PLAY T1|PLAY B1,True,False,False,False
9,1,PLAY F1,Play W2,PLAY W2,PLAY,PLAY F1,PLAY,PLAY F1|PLAY F2|PLAY B9,True,False,False,False
10,3,PENG,Peng,PENG,PENG,PENG,PENG,PENG,False,True,True,True
14,1,PLAY F2,Play T3,PLAY T3,PLAY,PLAY F2,PLAY,PLAY F2|PLAY J1,True,False,False,False
18,3,PLAY T6,Play W4,PLAY W4,PLAY,PLAY T6,PLAY,PLAY T6|PLAY B4,True,False,False,False
22,1,PLAY J1,Play T3,PLAY T3,PLAY,PLAY J1,PLAY,PLAY J1|PLAY B9,True,False,False,False
26,3,PLAY B4,Play W4,PLAY W4,PLAY,PLAY B4,PLAY,PLAY B4|PLAY W9,True,False,False,False
30,1,PLAY B9,Play T9,PLAY T9,PLAY,PLAY B9,PLAY,PLAY B9|PLAY W7|PLAY B1,True,False,False,False
34,3,PLAY W9,Play W4,PLAY W4,PLAY,PLAY W9,PLAY,PLAY W9|PLAY J1,True,False,False,False
38,1,PLAY W7,Play T2,PLAY T2,PLAY,PLAY W7,PLAY,PLAY W7|PLAY B1|PLAY T9,True,False,False,False
42,3,PLAY F3,Play W4,PLAY W4,PLAY,PLAY F3,PLAY,PLAY F3,True,False,False,False
46,1,PLAY W5,Play W2,PLAY W2,PLAY,PLAY W5,PLAY,PLAY W5|PLAY B1|PLAY T9,True,False,False,False
50,3,PLAY J3,Play J2,PLAY J2,PLAY,PLAY J3,PLAY,PLAY J3|PLAY J2,False,False,True,False
54,1,PLAY F1,Play W2,PLAY W2,PLAY,PLAY F1,PLAY,PLAY F1|PLAY B1,False,False,False,False
58,3,PLAY J2,Play B3,PLAY B3,PLAY,PLAY J2,PLAY,PLAY J2|PLAY B3,False,False,True,False
62,1,PLAY F3,Play W2,PLAY W2,PLAY,PLAY F3,PLAY,PLAY F3|PLAY B1,False,False,False,False
66,3,PLAY T5,Play T5,PLAY T5,PLAY,PLAY T5,PLAY,PLAY T5|PLAY B3,False,True,True,True
70,1,PLAY T7,Play T2,PLAY T2,PLAY,PLAY T7,PLAY,PLAY T7|PLAY B4|PLAY T9,False,False,False,False
74,3,PLAY J3,Play B3,PLAY B3,PLAY,PLAY J3,PLAY,PLAY J3,False,False,False,False
78,1,PLAY T8,Play W2,PLAY W2,PLAY,PLAY T8,PLAY,PLAY T8|PLAY B1,False,False,False,False
82,3,PLAY B3,Play B3,PLAY B3,PLAY,PLAY B3,PLAY,PLAY B3,False,True,True,True
86,1,PLAY B1,Play W2,PLAY W2,PLAY,PLAY B1,PLAY,PLAY B1|PLAY B4,False,False,False,False
89,3,PENG,Peng,PENG,PENG,PENG,PENG,PENG,False,True,True,True
93,1,PLAY B4,Play B4,PLAY B4,PLAY,PLAY B4,PLAY,PLAY B4|PLAY T4|PLAY T9,False,True,True,True
2,0,PLAY W9,Play W6,PLAY W6,PLAY,PLAY W9,PLAY,PLAY W9|PLAY W6|PLAY T7,True,False,True,True
6,2,PLAY J3,Play T9,PLAY T9,PLAY,PLAY J3,PLAY,PLAY J3|PLAY F3,True,False,False,False
10,0,PLAY W6,Play W6,PLAY W6,PLAY,PLAY W6,PLAY,PLAY W6|PLAY T5|PLAY T7,True,True,True,True
14,2,PLAY F3,Play W1,PLAY W1,PLAY,PLAY F3,PLAY,PLAY F3|PLAY J2,True,False,False,False
18,0,PLAY W4,Play W4,PLAY W4,PLAY,PLAY W4,PLAY,PLAY W4|PLAY T7|PLAY T5,True,True,True,True
21,2,PLAY J2,Play W1,PLAY W1,PLAY,PLAY J2,PLAY,PLAY J2,True,False,False,False
25,0,PLAY T7,Play F2,PLAY F2,PLAY,PLAY T7,PLAY,PLAY T7|PLAY T5|PLAY F3,True,False,False,False
29,2,PLAY T3,Play W1,PLAY W1,PLAY,PLAY T3,PLAY,PLAY T3|PLAY T9|PLAY W6,True,False,False,False
32,0,CHI B2,Chi B2,CHI B2,CHI,CHI B2,CHI,CHI B2,False,True,True,True
36,2,PLAY T4,Play W6,PLAY W6,PLAY,PLAY T4,PLAY,PLAY T4,True,False,False,False
39,0,CHI B7,Chi B7,CHI B7,CHI,CHI B7,CHI,CHI B7,False,True,True,True
43,2,PLAY T9,Play W7,PLAY W7,PLAY,PLAY T9,PLAY,PLAY T9|PLAY T8|PLAY B9,True,False,False,False
47,0,PLAY F2,Play F2,PLAY F2,PLAY,PLAY F2,PLAY,PLAY F2,False,True,True,True
51,2,PLAY T8,Play T8,PLAY T8,PLAY,PLAY T8,PLAY,PLAY T8,False,True,True,True
55,0,PLAY W6,Play J1,PLAY J1,PLAY,PLAY W6,PLAY,PLAY W6,False,False,False,False
59,2,PLAY T1,Play B9,PLAY B9,PLAY,PLAY T1,PLAY,PLAY T1|PLAY B9,False,False,True,False
63,0,PLAY W7,Play J1,PLAY J1,PLAY,PLAY W7,PLAY,PLAY W7,False,False,False,False
67,2,PLAY B9,Play B9,PLAY B9,PLAY,PLAY B9,PLAY,PLAY B9,False,True,True,True
71,0,PLAY F2,Play F2,PLAY F2,PLAY,PLAY F2,PLAY,PLAY F2,False,True,True,True
75,2,PLAY W7,Play B7,PLAY B7,PLAY,PLAY W7,PLAY,PLAY W7|PLAY B7|PLAY W9,False,False,True,False
79,0,PLAY W3,Play J1,PLAY J1,PLAY,PLAY W3,PLAY,PLAY W3,False,False,False,False
83,2,PLAY B3,Play B3,PLAY B3,PLAY,PLAY B3,PLAY,PLAY B3|PLAY W9,False,True,True,True
87,0,PLAY T5,Play T5,PLAY T5,PLAY,PLAY T5,PLAY,PLAY T5|PLAY F3,True,True,True,True
91,2,PLAY B1,Play W9,PLAY W9,PLAY,PLAY B1,PLAY,PLAY B1|PLAY B7|PLAY W5,False,False,False,False
95,0,PLAY J1,Play J1,PLAY J1,PLAY,PLAY J1,PLAY,PLAY J1,False,True,True,True
99,2,PLAY T7,Play T7,PLAY T7,PLAY,PLAY T7,PLAY,PLAY T7|PLAY B1,False,True,True,True
103,0,PLAY F4,Play F4,PLAY F4,PLAY,PLAY F4,PLAY,PLAY F4,False,True,True,True
107,2,PLAY T6,Play T6,PLAY T6,PLAY,PLAY T6,PLAY,PLAY T6,False,True,True,True
114,2,PLAY W3,Play W3,PLAY W3,PLAY,PLAY W3,PLAY,PLAY W3|PLAY W6,False,True,True,True
4,1,PLAY J3,Play W2,PLAY W2,PLAY,PLAY J3,PLAY,PLAY J3|PLAY B9,True,False,False,False
8,3,PLAY B9,Play W3,PLAY W3,PLAY,PLAY B9,PLAY,PLAY B9|PLAY T5|PLAY B5,True,False,False,False
11,1,CHI T6,Chi T6,CHI T6,CHI,CHI T6,CHI,CHI T6,False,True,True,True
15,3,PLAY T9,Play W3,PLAY W3,PLAY,PLAY T9,PLAY,PLAY T9|PLAY T5,True,False,False,False
19,1,PLAY J1,Play B7,PLAY B7,PLAY,PLAY J1,PLAY,PLAY J1|PLAY B7,True,False,True,True
23,1,CHI W8,Chi W8,CHI W8,CHI,CHI W8,CHI,CHI W8,False,True,True,True
26,3,PLAY J1,Play W3,PLAY W3,PLAY,PLAY J1,PLAY,PLAY J1|PLAY T5|PLAY T1,True,False,False,False
30,1,PLAY J2,Play J2,PLAY J2,PLAY,PLAY J2,PLAY,PLAY J2|PLAY W5|PLAY F3,True,True,True,True
34,3,PLAY J3,Play W3,PLAY W3,PLAY,PLAY J3,PLAY,PLAY J3|PLAY T1,True,False,False,False
38,1,PLAY W5,Play W2,PLAY W2,PLAY,PLAY W5,PLAY,PLAY W5|PLAY W3,True,False,False,False
42,3,PLAY F2,Play W3,PLAY W3,PLAY,PLAY F2,PLAY,PLAY F2|PLAY T1,True,False,False,False
46,1,PLAY B8,Play B8,PLAY B8,PLAY,PLAY B8,PLAY,PLAY B8|PLAY W3,False,True,True,True
50,3,PLAY T1,Play W3,PLAY W3,PLAY,PLAY T1,PLAY,PLAY T1|PLAY T5,True,False,False,False
54,1,PLAY B7,Play B7,PLAY B7,PLAY,PLAY B7,PLAY,PLAY B7|PLAY W5,True,True,True,True
58,3,PLAY B2,Play W9,PLAY W9,PLAY,PLAY B2,PLAY,PLAY B2,False,False,False,False
61,1,CHI W2,Chi W2,CHI W2,CHI,CHI W2,CHI,CHI W2,False,True,True,True
64,3,PLAY W1,Play W1,PLAY W1,PLAY,PLAY W1,PLAY,PLAY W1|PLAY W9|PLAY T8,False,True,True,True
68,1,PLAY W3,Play W3,PLAY W3,PLAY,PLAY W3,PLAY,PLAY W3,False,True,True,True
72,3,PLAY W1,Play W1,PLAY W1,PLAY,PLAY W1,PLAY,PLAY W1,False,True,True,True
76,1,PLAY T4,Play T4,PLAY T4,PLAY,PLAY T4,PLAY,PLAY T4,False,True,True,True
80,3,PLAY F1,Play W5,PLAY W5,PLAY,PLAY F1,PLAY,PLAY F1|PLAY W5,False,False,True,False
84,1,PLAY B1,Play B1,PLAY B1,PLAY,PLAY B1,PLAY,PLAY B1,False,True,True,True
87,1,HU,Hu,HU,HU,HU,HU,HU|PASS,False,True,True,True
2,0,PLAY W2,Play W2,PLAY W2,PLAY,PLAY W2,PLAY,PLAY W2|PLAY F3|PLAY T8,True,True,True,True
6,2,PLAY F2,Play T2,PLAY T2,PLAY,PLAY F2,PLAY,PLAY F2|PLAY F4,True,False,False,False
10,0,PLAY T4,Play W5,PLAY W5,PLAY,PLAY T4,PLAY,PLAY T4|PLAY W8|PLAY B1,True,False,False,False
14,2,PLAY F4,Play T2,PLAY T2,PLAY,PLAY F4,PLAY,PLAY F4|PLAY F3,True,False,False,False
18,0,PLAY W8,Play W5,PLAY W5,PLAY,PLAY W8,PLAY,PLAY W8|PLAY B1|PLAY W5,True,False,True,True
22,2,PLAY F3,Play W1,PLAY W1,PLAY,PLAY F3,PLAY,PLAY F3,True,False,False,False
26,0,PLAY F3,Play W5,PLAY W5,PLAY,PLAY F3,PLAY,PLAY F3|PLAY B1|PLAY W5,True,False,True,True
29,2,CHI B2,Chi B2,CHI B2,CHI,CHI B2,CHI,CHI B2|PASS,False,True,True,True
33,0,PLAY F4,Play W5,PLAY W5,PLAY,PLAY F4,PLAY,PLAY F4|PLAY B1|PLAY W5,True,False,True,True
37,2,PLAY W3,Play W3,PLAY W3,PLAY,PLAY W3,PLAY,PLAY W3|PLAY T2,True,True,True,True
40,0,PLAY T1,Play W5,PLAY W5,PLAY,PLAY T1,PLAY,PLAY T1,True,False,False,False
44,2,PLAY T2,Play B7,PLAY B7,PLAY,PLAY T2,PLAY,PLAY T2,True,False,False,False
46,0,PENG,Peng,PENG,PENG,PENG,PENG,PENG,False,True,True,True
50,2,PLAY W6,Play W6,PLAY W6,PLAY,PLAY W6,PLAY,PLAY W6,False,True,True,True
54,0,PLAY W9,Play W5,PLAY W5,PLAY,PLAY W9,PLAY,PLAY W9|PLAY W5,False,False,True,False
58,2,PLAY J1,Play J1,PLAY J1,PLAY,PLAY J1,PLAY,PLAY J1,False,True,True,True
62,0,PLAY T2,Play W5,PLAY W5,PLAY,PLAY T2,PLAY,PLAY T2|PLAY J3|PLAY W5,False,False,True,False
66,2,PLAY T4,Play T4,PLAY T4,PLAY,PLAY T4,PLAY,PLAY T4|PLAY T8,False,True,True,True
70,0,PLAY F3,Play W5,PLAY W5,PLAY,PLAY F3,PLAY,PLAY F3|PLAY W5|PLAY J3,False,False,True,False
74,2,PLAY F3,Play F3,PLAY F3,PLAY,PLAY F3,PLAY,PLAY F3,False,True,True,True
78,0,PLAY T8,Play W3,PLAY W3,PLAY,PLAY T8,PLAY,PLAY T8|PLAY W3,False,False,True,False
82,2,PLAY B2,Play B2,PLAY B2,PLAY,PLAY B2,PLAY,PLAY B2,False,True,True,True
86,0,PLAY W3,Play B2,PLAY B2,PLAY,PLAY W3,PLAY,PLAY W3|PLAY B2,False,False,True,False
90,2,PLAY T7,Play T7,PLAY T7,PLAY,PLAY T7,PLAY,PLAY T7,False,True,True,True
94,0,PLAY W2,Play B2,PLAY B2,PLAY,PLAY W2,PLAY,PLAY W2|PLAY B2,False,False,True,False
98,2,PLAY W7,Play W7,PLAY W7,PLAY,PLAY W7,PLAY,PLAY W7,False,True,True,True
102,0,PLAY W8,Play B2,PLAY B2,PLAY,PLAY W8,PLAY,PLAY W8|PLAY B2,False,False,True,False
2,0,PLAY W5,Play W1,PLAY W1,PLAY,PLAY W5,PLAY,PLAY W5,True,False,False,False
8,3,PLAY F2,Play T9,PLAY T9,PLAY,PLAY F2,PLAY,PLAY F2|PLAY F1|PLAY J3,True,False,False,False
10,0,PLAY B6,Play T1,PLAY T1,PLAY,PLAY B6,PLAY,PLAY B6,True,False,False,False
15,0,PENG,Pass,PASS,PASS,PENG,PENG,PENG,False,False,False,False
20,0,GANG,Peng,PENG,PENG,GANG,GANG,GANG,False,False,False,False
26,3,PENG,Peng,PENG,PENG,PENG,PENG,PENG,False,True,True,True
28,0,PLAY W2,Play F4,PLAY F4,PLAY,PLAY W2,PLAY,PLAY W2|PLAY F4,True,False,True,True
33,3,CHI W3,Chi W3,CHI W3,CHI,CHI W3,CHI,CHI W3,False,True,True,True
35,0,PLAY W2,Play F4,PLAY F4,PLAY,PLAY W2,PLAY,PLAY W2|PLAY F4,True,False,True,True
41,3,PLAY J2,Play W6,PLAY W6,PLAY,PLAY J2,PLAY,PLAY J2|PLAY T9,True,False,False,False
43,0,PLAY F1,Play F1,PLAY F1,PLAY,PLAY F1,PLAY,PLAY F1|PLAY F4,True,True,True,True
49,3,PLAY F3,Play W6,PLAY W6,PLAY,PLAY F3,PLAY,PLAY F3,True,False,False,False
51,0,PLAY F2,Play F2,PLAY F2,PLAY,PLAY F2,PLAY,PLAY F2|PLAY F4,False,True,True,True
56,3,CHI T3,Chi T3,CHI T3,CHI,CHI T3,CHI,CHI T3|PASS,False,True,True,True
60,3,PLAY W6,Play W6,PLAY W6,PLAY,PLAY W6,PLAY,PLAY W6,False,True,True,True
62,0,PLAY J1,Play J1,PLAY J1,PLAY,PLAY J1,PLAY,PLAY J1|PLAY B3,False,True,True,True
70,3,PLAY B6,Play B6,PLAY B6,PLAY,PLAY B6,PLAY,PLAY B6|PLAY W7,False,True,True,True
72,0,PLAY B3,Play B3,PLAY B3,PLAY,PLAY B3,PLAY,PLAY B3|PLAY B1,False,True,True,True
78,3,PLAY W8,Play W8,PLAY W8,PLAY,PLAY W8,PLAY,PLAY W8|PLAY T2,False,True,True,True
80,0,PLAY W9,Play W9,PLAY W9,PLAY,PLAY W9,PLAY,PLAY W9,False,True,True,True
83,0,HU,Hu,HU,HU,HU,HU,HU|PENG,False,True,True,True
6,2,PLAY B9,Play T3,PLAY T3,PLAY,PLAY B9,PLAY,PLAY B9|PLAY F1,True,False,False,False
8,3,PLAY F2,Play W1,PLAY W1,PLAY,PLAY F2,PLAY,PLAY F2|PLAY W1,True,False,True,True
14,2,PLAY F1,Play T3,PLAY T3,PLAY,PLAY F1,PLAY,PLAY F1,True,False,False,False
16,3,PLAY J2,Play W1,PLAY W1,PLAY,PLAY J2,PLAY,PLAY J2|PLAY W1,True,False,True,True
22,2,PLAY B3,Play W5,PLAY W5,PLAY,PLAY B3,PLAY,PLAY B3|PLAY W9,True,False,False,False
24,3,PLAY W1,Play W1,PLAY W1,PLAY,PLAY W1,PLAY,PLAY W1|PLAY B8,True,True,True,True
29,2,PLAY F1,Play W5,PLAY W5,PLAY,PLAY F1,PLAY,PLAY F1|PLAY B2,True,False,False,False
31,3,PLAY F3,Play W6,PLAY W6,PLAY,PLAY F3,PLAY,PLAY F3,True,False,False,False
37,2,PLAY F4,Play W5,PLAY W5,PLAY,PLAY F4,PLAY,PLAY F4|PLAY B2,True,False,False,False
39,3,PLAY B4,Play W6,PLAY W6,PLAY,PLAY B4,PLAY,PLAY B4|PLAY T2,True,False,False,False
45,2,PLAY T8,Play W5,PLAY W5,PLAY,PLAY T8,PLAY,PLAY T8|PLAY B2,True,False,False,False
47,3,PLAY B8,Play W6,PLAY W6,PLAY,PLAY B8,PLAY,PLAY B8|PLAY T9|PLAY W6,True,False,True,True
53,2,PLAY W9,Play W5,PLAY W5,PLAY,PLAY W9,PLAY,PLAY W9|PLAY T3,False,False,False,False
55,3,PLAY F1,Play W6,PLAY W6,PLAY,PLAY F1,PLAY,PLAY F1,False,False,False,False
61,2,PLAY J3,Play T3,PLAY T3,PLAY,PLAY J3,PLAY,PLAY J3,False,False,False,False
63,3,PLAY T9,Play T6,PLAY T6,PLAY,PLAY T9,PLAY,PLAY T9|PLAY W6,False,False,False,False
69,2,PLAY J3,Play W4,PLAY W4,PLAY,PLAY J3,PLAY,PLAY J3,False,False,False,False
71,3,PLAY W2,Play W2,PLAY W2,PLAY,PLAY W2,PLAY,PLAY W2,False,True,True,True
77,2,PLAY W5,Play W5,PLAY W5,PLAY,PLAY W5,PLAY,PLAY W5|PLAY T6,False,True,True,True
79,3,PLAY B6,Play B6,PLAY B6,PLAY,PLAY B6,PLAY,PLAY B6|PLAY W6,False,True,True,True
84,2,PLAY T6,Play T6,PLAY T6,PLAY,PLAY T6,PLAY,PLAY T6|PLAY T3,False,True,True,True
86,3,PLAY B9,Play B9,PLAY B9,PLAY,PLAY B9,PLAY,PLAY B9|PLAY T6,False,True,True,True
92,2,PLAY W1,Play W1,PLAY W1,PLAY,PLAY W1,PLAY,PLAY W1,False,True,True,True
94,3,PLAY F1,Play F1,PLAY F1,PLAY,PLAY F1,PLAY,PLAY F1,False,True,True,True
100,2,PLAY T1,Play T1,PLAY T1,PLAY,PLAY T1,PLAY,PLAY T1,False,True,True,True
102,3,PLAY B6,Play B6,PLAY B6,PLAY,PLAY B6,PLAY,PLAY B6|PLAY T2|PLAY T4,False,True,True,True
108,2,PLAY T7,Play T7,PLAY T7,PLAY,PLAY T7,PLAY,PLAY T7,False,True,True,True
110,3,PLAY W6,Play W2,PLAY W2,PLAY,PLAY W6,PLAY,PLAY W6|PLAY T7|PLAY W2,False,False,True,False
116,2,PLAY J2,Play J2,PLAY J2,PLAY,PLAY J2,PLAY,PLAY J2,False,True,True,True
118,3,PLAY T7,Play W2,PLAY W2,PLAY,PLAY T7,PLAY,PLAY T7|PLAY T8,False,False,False,False
4,1,PLAY F2,Play W8,PLAY W8,PLAY,PLAY F2,PLAY,PLAY F2|PLAY J3,True,False,False,False
6,2,PLAY F1,Play W3,PLAY W3,PLAY,PLAY F1,PLAY,PLAY F1|PLAY F3,True,False,False,False
12,1,PLAY J3,Play W2,PLAY W2,PLAY,PLAY J3,PLAY,PLAY J3,True,False,False,False
14,2,PLAY F3,Play T3,PLAY T3,PLAY,PLAY F3,PLAY,PLAY F3,True,False,False,False
